vehicle_id,timestamp,dtc_code,severity,description
585 QZO,2024-07-04 03:29:46,C134138,medium,Tire pressure warning
CQ-1004,2024-05-20 03:29:30,C134112,high,Steering angle sensor failure
1W I8633,2024-02-21 19:22:18,C134131,low,Electronic stability control failure
KAF 496,2024-01-29 18:53:50,C190004,medium,High-pressure warning
LVT 381,2024-07-15 11:30:04,C134113,high,Brake sensor malfunction
W73 5GP,2024-09-18 06:20:58,C134113,high,Brake sensor malfunction
1V 9741E,2024-10-17 09:37:01,C134112,high,Steering angle sensor failure
ZJD-587,2024-04-06 11:24:12,C134113,high,Brake sensor malfunction
1MJ 328,2024-08-07 17:10:53,C134113,medium,Brake sensor malfunction
FCH 6088,2024-07-02 11:30:12,C190004,medium,High-pressure warning
486 ANF,2024-05-24 14:10:34,C134112,medium,Steering angle sensor failure
KQP 993,2024-01-27 08:31:28,C134113,high,Brake sensor malfunction
SDR 605,2024-06-20 17:28:44,C134138,medium,Tire pressure warning
KIZ 359,2024-06-09 18:36:54,C134138,medium,Tire pressure warning
3DF4514,2024-09-17 04:15:42,C134131,high,Electronic stability control failure
CWR 3627,2024-01-22 17:13:50,C134113,low,Brake sensor malfunction
L72 5KE,2024-05-07 03:09:41,C134112,high,Steering angle sensor failure
928Y,2024-09-28 20:51:13,C134113,low,Brake sensor malfunction
340LI,2024-07-08 16:10:52,C134138,high,Tire pressure warning
OL 60228,2024-05-22 16:10:27,C134138,low,Tire pressure warning
6-73270X,2024-05-07 12:14:39,C134131,high,Electronic stability control failure
XA 9879,2024-10-16 02:56:49,C134131,low,Electronic stability control failure
076 UPX,2024-03-09 18:42:11,C134113,low,Brake sensor malfunction
88O QY8,2024-09-19 04:25:28,C134138,high,Tire pressure warning
6U 8X3UBF,2024-10-17 10:04:50,C134138,high,Tire pressure warning
2AN02,2024-10-12 20:27:22,C134113,medium,Brake sensor malfunction
995 JXU,2024-06-27 11:39:03,C134131,low,Electronic stability control failure
20T 7818,2024-01-19 11:19:42,C134112,low,Steering angle sensor failure
ZZD 988,2024-08-27 16:03:15,C134138,medium,Tire pressure warning
395-FYP,2024-09-12 18:16:08,C134131,low,Electronic stability control failure
LPN-659,2024-01-07 01:57:48,C134112,medium,Steering angle sensor failure
MBD 224,2024-07-02 16:05:18,C134112,low,Steering angle sensor failure
584 ZEN,2024-06-13 18:28:52,C134138,high,Tire pressure warning
IJ 2537,2024-01-28 23:20:52,C134131,low,Electronic stability control failure
4WI 778,2024-01-13 04:06:59,C134112,high,Steering angle sensor failure
BHD-130,2024-08-14 03:35:28,C134131,medium,Electronic stability control failure
8Q MH651,2024-07-06 03:20:52,C134112,low,Steering angle sensor failure
2JP 989,2024-07-18 09:39:26,C134138,high,Tire pressure warning
0AD 153,2024-08-05 12:59:36,C190004,medium,High-pressure warning
JZ1 3489,2024-08-06 13:30:20,C134113,medium,Brake sensor malfunction
397U9,2024-03-05 00:33:15,C134113,medium,Brake sensor malfunction
5XL 537,2024-09-19 12:35:39,C134113,low,Brake sensor malfunction
8-T2875,2024-01-24 20:17:46,C190004,low,High-pressure warning
KCT 464,2024-04-21 19:40:27,C134131,medium,Electronic stability control failure
00-5902T,2024-07-08 21:12:33,C134138,low,Tire pressure warning
QGH 789,2024-06-02 06:37:55,C134113,low,Brake sensor malfunction
MX1 B0B,2024-05-26 09:12:44,C190004,low,High-pressure warning
SU-6905,2024-10-06 21:31:44,C134131,medium,Electronic stability control failure
EEJ-2109,2024-01-23 09:38:49,C134112,low,Steering angle sensor failure
573-IJZ,2024-02-10 00:48:49,C134113,low,Brake sensor malfunction
6FV1823,2024-06-05 22:05:00,C134131,low,Electronic stability control failure
5Y Q2019,2024-08-11 05:47:44,C134112,high,Steering angle sensor failure
BRD-277,2024-04-06 21:59:39,C190004,high,High-pressure warning
969-NYR,2024-08-31 13:41:07,C134131,medium,Electronic stability control failure
RZH 413,2024-10-10 03:56:01,C190004,high,High-pressure warning
972E4,2024-10-17 07:00:42,C190004,medium,High-pressure warning
26UG3,2024-04-29 17:53:20,C134131,low,Electronic stability control failure
MAY 863,2024-10-16 21:46:55,C134113,low,Brake sensor malfunction
XJ8 D3M,2024-03-01 00:00:23,C190004,low,High-pressure warning
MOW 863,2024-08-23 07:17:35,C134131,low,Electronic stability control failure
929-GEND,2024-06-16 21:38:15,C134131,low,Electronic stability control failure
4HHG 81,2024-04-26 20:46:49,C134112,low,Steering angle sensor failure
731-GSW,2024-07-02 00:24:08,C134113,low,Brake sensor malfunction
9RI 130,2024-10-04 02:43:13,C134112,medium,Steering angle sensor failure
V97 4JD,2024-06-10 23:23:54,C134112,high,Steering angle sensor failure
K 137327,2024-02-04 16:14:33,C134138,low,Tire pressure warning
2Z 4O2RYF,2024-06-27 18:01:03,C134138,low,Tire pressure warning
2JI 548,2024-05-31 12:42:35,C190004,low,High-pressure warning
TUZ4076,2024-09-17 20:05:45,C134131,medium,Electronic stability control failure
553SK,2024-02-13 06:12:30,C134112,medium,Steering angle sensor failure
767 WMS,2024-02-10 08:40:31,C190004,high,High-pressure warning
YRL 956,2024-04-27 09:56:10,C134113,low,Brake sensor malfunction
LSL 735,2024-05-28 21:42:09,C134131,low,Electronic stability control failure
223 NDS,2024-07-19 03:01:52,C134113,medium,Brake sensor malfunction
PZX8426,2024-07-03 22:34:27,C134112,high,Steering angle sensor failure
767 DPZ,2024-04-11 17:10:42,C134131,medium,Electronic stability control failure
1N 49640,2024-07-03 04:35:24,C190004,high,High-pressure warning
1TL 209,2024-04-23 00:14:05,C190004,medium,High-pressure warning
U53-CAK,2024-06-22 08:32:40,C134138,high,Tire pressure warning
66BW7,2024-07-30 10:37:52,C134112,high,Steering angle sensor failure
6FN P49,2024-01-29 12:33:59,C134113,high,Brake sensor malfunction
LVH 954,2024-04-30 02:35:56,C134112,medium,Steering angle sensor failure
86-85572,2024-01-05 05:54:04,C134138,medium,Tire pressure warning
EWT 458,2024-08-01 18:14:22,C134113,high,Brake sensor malfunction
ZFY 3195,2024-07-24 04:12:57,C134131,low,Electronic stability control failure
ITP-1825,2024-09-16 15:27:07,C134112,medium,Steering angle sensor failure
W66 9MI,2024-06-03 19:54:52,C134112,medium,Steering angle sensor failure
713YQZ,2024-08-17 19:19:34,C134113,medium,Brake sensor malfunction
FVA-3845,2024-06-12 03:43:33,C134138,low,Tire pressure warning
736 XN8,2024-05-12 22:58:45,C134112,high,Steering angle sensor failure
VFM-067,2024-07-28 22:24:24,C134131,low,Electronic stability control failure
PTA-5511,2024-01-29 16:13:13,C134138,low,Tire pressure warning
717 CBQ,2024-06-04 13:06:29,C134113,low,Brake sensor malfunction
5X 88644,2024-08-18 14:29:03,C134113,low,Brake sensor malfunction
0-23388,2024-06-07 18:14:54,C134138,medium,Tire pressure warning
312YHP,2024-08-11 19:28:58,C134113,low,Brake sensor malfunction
HFI 949,2024-06-06 01:17:01,C134138,medium,Tire pressure warning
83-C303,2024-01-10 01:41:03,C134131,medium,Electronic stability control failure
3E 94671,2024-10-01 04:35:36,C134113,low,Brake sensor malfunction
QYQ 585,2024-04-13 09:58:40,C190004,high,High-pressure warning
